Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Aruba	ABW	GDP per capita (current US$)	NY.GDP.PCAP.CD																											6472.502029	7885.796545	9764.789979	11392.45581	12307.31174	13496.00339	14046.504	14936.82704	16241.04632	16439.35636	16586.06844	17927.74964	19078.34319	19356.20339	20620.70063	20669.03197	20436.88713	20833.76161	22569.97499	23300.03956	24045.74942	25835.64314	27086.03985	24630.93927	23512.6026	24984.27945	24709.60226	25018.30895	25528.40378	25796.38025	25251.63968	25655.10202	
Afghanistan	AFG	GDP per capita (current US$)	NY.GDP.PCAP.CD	59.77732651	59.87815281	58.49287383	78.78275804	82.20844386	101.2904713	137.8993619	161.3220001	129.5066538	129.7985414	157.1874224	160.3728356	136.1170144	144.1103189	174.9420383	187.975604	199.0261727	226.0053438	249.2873863	277.9007417	274.8808587	266.4930418																					184.4947121	195.7766303	216.7081289	247.66414	269.229693	366.2304432	370.382294	444.1844041	550.514974	599.2976298	648.5110696	647.9664605	625.3395388	590.0764738	549.5827599	550.0684588	
Angola	AGO	GDP per capita (current US$)	NY.GDP.PCAP.CD																					664.1175602	600.4087655	579.2520009	582.4201265	596.6024672	711.9927001	647.5633537	720.5989385	761.6184577	862.5090577	922.55017	844.6911343	640.6222979	430.3815953	320.657792	388.1667663	512.6209659	506.8849522	419.6398453	385.7688535	555.2969419	526.168743	869.851485	978.5389339	1248.404906	1890.849727	2585.133522	3108.268643	4068.978456	3117.896944	3585.905553	4615.867475	5102.489969	5258.407376	5412.692348	4170.730358	3509.604211	4100.289786	
Albania	ALB	GDP per capita (current US$)	NY.GDP.PCAP.CD																									639.4847358	639.8659094	693.8734746	674.7933831	652.7743214	697.9955966	617.2304355	336.5869945	200.8522198	367.2792251	586.4163396	750.6044492	1009.977275	717.3800477	813.7893966	1033.242532	1126.68334	1281.659826	1425.124219	1846.120121	2373.581292	2673.786584	2972.742924	3595.038057	4370.539925	4114.134899	4094.360204	4437.177794	4247.614342	4413.082887	4578.667934	3952.830781	4131.872341	4537.579056	
Andorra	AND	GDP per capita (current US$)	NY.GDP.PCAP.CD											3238.55685	3498.173652	4217.173581	5342.16856	6319.739034	7169.101006	7152.375134	7751.370216	9129.706185	11820.84939	12377.41165	10372.23283	9610.266308	8022.654781	7728.906695	7774.393829	10361.81598	12616.16757	14304.35696	15166.43785	18878.50597	19532.54015	20547.71179	16516.47103	16234.80901	18461.06486	19017.17459	18353.05972	18894.5215	19261.7105	21936.5301	22228.84649	24741.49357	32776.44227	38503.47961	41282.02012	43748.77216	48582.80846	47785.65909	43339.37987	39736.35406	41098.76694	38391.08087	40619.7113	42294.99473	36038.2676	37231.81567	39146.54884	
Arab World	ARB	GDP per capita (current US$)	NY.GDP.PCAP.CD									221.3186553	236.3741355	259.0381881	291.9782892	338.7725291	417.3330761	770.6224499	827.2752478	996.6210187	1113.388022	1182.880733	1549.920468	2041.461842	2032.459252	1847.244634	1682.703223	1655.727687	1590.227163	1473.513606	1526.051826	1458.755294	1487.739113	1988.567858	1908.979266	2006.795844	1977.461527	1970.860559	2054.384318	2217.417325	2301.16173	2173.421024	2317.038473	2590.222438	2495.939884	2463.398587	2722.378726	3119.164887	3747.312977	4338.385738	4939.53	6116.581229	5159.342763	5918.315891	6856.035033	7465.13523	7510.729986	7456.598173	6429.17084	6183.079222	6235.420578	
United Arab Emirates	ARE	GDP per capita (current US$)	NY.GDP.PCAP.CD																26556.08003	29698.16922	33245.8361	27897.32709	32798.47823	41825.99546	44012.33307	39193.74097	34159.03735	31709.25433	29189.16779	23056.10453	23312.92953	21907.59798	23612.7452	27256.29094	26168.26662	25993.55801	25199.34958	25467.19222	26847.08005	28615.58214	29199.52461	26663.3087	28260.00502	33071.26869	31061.52935	31311.35936	33230.52318	36161.17061	39439.80197	42372.22166	42672.61323	45758.90554	33072.57517	35037.89267	40434.36635	42086.68995	43315.14149	44443.06151	39122.04971	38517.80039	40698.84934	
Argentina	ARG	GDP per capita (current US$)	NY.GDP.PCAP.CD			1148.579957	845.0771842	1166.3174	1272.010496	1266.344989	1057.755661	1136.517832	1324.082935	1317.487755	1366.354726	1401.487795	2083.972218	2824.650915	2011.68904	1932.590782	2112.501173	2129.313793	2501.480753	2738.284723	2756.396981	2907.757627	3530.131783	2643.369398	2909.51661	3595.085898	3546.71882	3969.327412	2375.339103	4318.7747	5715.504397	6798.026763	6940.350358	7449.48039	7373.428246	7683.574065	8172.664323	8248.761989	7736.369623	7669.273916	7170.694674	2579.193168	3330.437006	4251.574348	5076.883829	5878.761027	7193.61764	8953.359275	8161.306966	10276.2605	12726.90836	12969.70712	12976.63642	12245.25645	13698.29344	12654.355	14398.35877	
Armenia	ARM	GDP per capita (current US$)	NY.GDP.PCAP.CD																															637.8557412	590.1222257	369.6333681	357.2043399	400.5160919	456.3758998	504.059514	523.2835691	609.1730254	597.4334817	622.7427477	694.4305119	783.2616099	930.1661567	1191.96192	1643.758543	2158.002909	3138.808703	4010.026997	2993.832531	3218.381655	3526.978143	3684.80481	3843.591213	3994.712355	3617.935746	3605.743117	3936.79832	
American Samoa	ASM	GDP per capita (current US$)	NY.GDP.PCAP.CD																																											8751.766529	8914.525433	8639.308855	8508.406915	8456.947997	8980.536414	9871.997194	12058.26382	10352.82276	10375.99422	11660.32953	11589.853	11598.75174	11901.97526	11744.81555	11394.4753	
